Pin,Signal,Type,Bank,FPGA_Pin,Description,Carrier_Use
1,B65_L1_P,I/O,BANK65,Y8,BANK65 Lane1 Positive,MIPI_CLK_P
2,B65_L1_N,I/O,BANK65,Y7,BANK65 Lane1 Negative,MIPI_CLK_N
3,B65_L2_P,I/O,BANK65,U9,BANK65 Lane2 Positive,MIPI_D0_P
4,B65_L2_N,I/O,BANK65,V9,BANK65 Lane2 Negative,MIPI_D0_N
5,GND,PWR,-,-,Ground,Ground
6,B65_L3_P,I/O,BANK65,U8,BANK65 Lane3 Positive,MIPI_D1_P
7,B65_L3_N,I/O,BANK65,V8,BANK65 Lane3 Negative,MIPI_D1_N
8,B65_L4_P,I/O,BANK65,W8,BANK65 Lane4 Positive,Reserved
9,B65_L4_N,I/O,BANK65,W7,BANK65 Lane4 Negative,Reserved
10,B65_L5_P,I/O,BANK65,W9,BANK65 Lane5 Positive,Reserved
11,B65_L5_N,I/O,BANK65,Y9,BANK65 Lane5 Negative,Reserved
12,GND,PWR,-,-,Ground,Ground
13,B65_L6_P,I/O,BANK65,U7,BANK65 Lane6 Positive,HDMI_IN_CLK
14,B65_L6_N,I/O,BANK65,V7,BANK65 Lane6 Negative,Reserved
15,B65_L7_P,I/O,BANK65,U6,BANK65 Lane7 Positive,HDMI_IN_DE
16,B65_L7_N,I/O,BANK65,V6,BANK65 Lane7 Negative,HDMI_IN_HS
17,B65_L8_P,I/O,BANK65,T6,BANK65 Lane8 Positive,HDMI_IN_VS
18,GND,PWR,-,-,Ground,Ground
19,B65_L8_N,I/O,BANK65,U5,BANK65 Lane8 Negative,HDMI_IN_D0
20,B65_L9_P,I/O,BANK65,T7,BANK65 Lane9 Positive,HDMI_IN_D1
21,B65_L9_N,I/O,BANK65,T8,BANK65 Lane9 Negative,HDMI_IN_D2
22,B65_L10_P,I/O,BANK65,R6,BANK65 Lane10 Positive,HDMI_IN_D3
23,B65_L10_N,I/O,BANK65,R5,BANK65 Lane10 Negative,HDMI_IN_D4
24,GND,PWR,-,-,Ground,Ground
25,B65_L11_P,I/O,BANK65,R7,BANK65 Lane11 Positive,HDMI_IN_D5
26,B65_L11_N,I/O,BANK65,R8,BANK65 Lane11 Negative,HDMI_IN_D6
27,B65_L12_P,I/O,BANK65,P5,BANK65 Lane12 Positive,HDMI_IN_D7
28,B65_L12_N,I/O,BANK65,P6,BANK65 Lane12 Negative,HDMI_IN_D8
29,B65_L13_P,I/O,BANK65,N6,BANK65 Lane13 Positive,HDMI_IN_D9
30,GND,PWR,-,-,Ground,Ground
31,B65_L13_N,I/O,BANK65,N5,BANK65 Lane13 Negative,HDMI_IN_D10
32,B65_L14_P,I/O,BANK65,P7,BANK65 Lane14 Positive,HDMI_IN_D11
33,B65_L14_N,I/O,BANK65,P8,BANK65 Lane14 Negative,HDMI_IN_D12
34,B65_L15_P,I/O,BANK65,N7,BANK65 Lane15 Positive,HDMI_IN_D13
35,B65_L15_N,I/O,BANK65,N8,BANK65 Lane15 Negative,HDMI_IN_D14
36,GND,PWR,-,-,Ground,Ground
37,B65_L16_P,I/O,BANK65,M6,BANK65 Lane16 Positive,HDMI_IN_D15
38,B65_L16_N,I/O,BANK65,M5,BANK65 Lane16 Negative,HDMI_IN_D16
39,B65_L17_P,I/O,BANK65,M7,BANK65 Lane17 Positive,HDMI_IN_D17
40,B65_L17_N,I/O,BANK65,M8,BANK65 Lane17 Negative,HDMI_IN_D18
41,B65_L18_P,I/O,BANK65,L5,BANK65 Lane18 Positive,HDMI_IN_D19
42,GND,PWR,-,-,Ground,Ground
